Bill Gates,25
Ray Dalio,21
Richard Branson,18
Scott Morrison,16
Simon Sinek,9
Malcolm Turnbull,9
Mark Bouris AM,9
Mohamed El-Erian,8
Sallie Krawcheck,7
Tony Robbins,7
Shayne Elliott,7
Jessica Alba,6
Arianna Huffington,6
Jack Welch,5
Larry Fink,5
Jacinda Ardern,5
Melinda French Gates,5
Satya Nadella,4
Indra Nooyi,4
Naomi Simson,4
Gary Vaynerchuk,4
Brené Brown,4
Tom Keene,3
Andrew Penn,3
Adam Grant,3
Jamie Dimon,3
Jeff Weiner,3
Scott Galloway,3
Janine Allis,3
Don Peppers,2
Oliver Bäte,2
Amy Cuddy,2
William De Vijlder,2
Ann Handley,2
Ian Bremmer,2
"David H. Stevens, CMB",2
Andrew Thorburn,2
Mike Bloomberg,2
Michael Dell,2
Colin Shaw,2
Angela Ahrendts,2
Dr. Travis Bradberry,2
Tim Buckley,2
"David L. Katz, MD, MPH, FACPM, FACP, FACLM",1
Henry Blodget,1
Christine Lagarde,1
Boris Johnson,1
Emmanuel Faber,1
Marshall Goldsmith,1
Matt Higgins,1
David M. Solomon,1
Eric Ries,1
Don Tapscott,1
James Caan CBE,1
Mark Mobius,1
Jean-Laurent Bonnafé,1
Ekta Kapoor,1
Deepak Chopra MD (official),1
James Altucher,1
Jon Steinberg,1
Kate Morris,1
Fred Reichheld,1
Rachel Botsman,1
Kai-Fu Lee,1
Brian Solis,1
Tom Gonser,1
Anthony Pratt,1
Dharmesh Shah,1
Neil Weinberg,1
Susan Cain,1
Linda Coles,1
Daniel Goleman,1
David Edelman,1
Meg Whitman,1
Cyril Ramaphosa,1
Creel Price,1
Peter H. Diamandis,1
Avinash Kaushik,1
Ryan Roslansky,1
LeVar Burton,1
Robert Downey Jr.,1
Jeff Haden,1
Mickey Mikitani,1
Carrie Schwab-Pomerantz,1
Dave Kerpen,1
Jennifer Openshaw,1
Jim Citrin,1
Tomasz Tunguz,1
Emmanuel Macron,1
Guy Kawasaki,1
Daniel Ricciardo,1
Bruce Kasanoff,1
Eduardo Saverin,1
Rob Sharps,1
Angela Duckworth,1
Sachin Tendulkar,1
Adena Friedman,1
Jim Yong Kim,1
